modifier_type,modifier_name,target_attribute,effect_value,condition,description
equipment,basic_rod,strength,-0.1,rod_equipped,"Basic rod reduces fish strength perception"
equipment,advanced_rod,strength,-0.2,rod_equipped,"Advanced rod significantly reduces fish strength"
equipment,basic_reel,agility,-0.1,reel_equipped,"Basic reel reduces fish agility"
equipment,advanced_reel,agility,-0.25,reel_equipped,"Advanced reel greatly reduces fish agility"
equipment,strong_line,endurance,-0.15,line_equipped,"Strong line reduces fish endurance"
equipment,premium_line,endurance,-0.3,line_equipped,"Premium line significantly reduces fish endurance"
lure,spinner,aggression,0.2,lure_active,"Spinner lures increase fish aggression"
lure,jig,intelligence,-0.1,lure_active,"Jig lures reduce fish intelligence"
lure,live_bait,caution,-0.3,lure_active,"Live bait significantly reduces fish caution"
lure,artificial_fly,intelligence,0.1,lure_active,"Artificial flies increase fish intelligence"
skill,casting_accuracy,caution,-0.1,skill_active,"Accurate casting reduces fish caution"
skill,lure_presentation,intelligence,-0.15,skill_active,"Good lure presentation reduces fish intelligence"
skill,fighting_technique,strength,-0.2,skill_active,"Fighting technique reduces effective fish strength"
skill,patience,aggression,0.1,skill_active,"Patience increases fish aggression over time"
environmental,clear_weather,caution,0.1,weather_clear,"Clear weather increases fish caution"
environmental,overcast,aggression,0.15,weather_overcast,"Overcast weather increases fish aggression"
environmental,rain,caution,-0.2,weather_rain,"Rain reduces fish caution"
environmental,storm,all_attributes,0.3,weather_storm,"Storm increases all fish attributes"
time,dawn,aggression,0.2,time_dawn,"Dawn increases fish aggression"
time,dusk,aggression,0.25,time_dusk,"Dusk significantly increases fish aggression"
time,night,caution,-0.15,time_night,"Night reduces fish caution"
time,midday,intelligence,0.1,time_midday,"Midday increases fish intelligence" 
